sentence,sentiment,topic
slide giáo trình ??y ?? .,1,1
"nhi?t tình gi?ng d?y , g?n g?i v?i sinh viên .",1,0
?i h?c ??y ?? full ?i?m chuyên c?n .,0,1
ch?a áp d?ng công ngh? thông tin và các thi?t b? h? tr? cho vi?c gi?ng d?y .,0,0
"th?y gi?ng bài hay , có nhi?u bài t?p ví d? ngay trên l?p .",1,0
"gi?ng viên ??m b?o th?i gian lên l?p , tích c?c tr? l?i câu h?i c?a sinh viên , th??ng xuyên ??t câu h?i cho sinh viên .",1,0
"th?i l??ng h?c quá dài , không ??m b?o ti?p thu hi?u qu? .",0,1
"n?i dung môn h?c có ph?n thi?u tr?ng tâm , h?u nh? là chung chung , khái quát khi?n sinh viên r?t khó n?m ???c n?i dung môn h?c .",0,1
c?n nói rõ h?n b?ng cách trình bày lên b?ng thay vì nhìn vào slide .,0,1
th?y r?t t?n tình và ?i d?y r?t ?úng gi? .,1,0
d? b? áp l?c .,0,3
môn h?c còn d? c?n nâng ?? khó lên n?a .,0,1
"có th? cho sinh viên ?i th?m quan nhi?u công ty xem quy mô và cách làm vi?c , ?? giúp hi?u rõ h?n vê ngành mình ?ang h?c .",0,1
hài lòng v? t?t c? .,1,3
"nhi?t tình , vui v? .",1,0
th?y nhi?t tình trong vi?c trao ??i giúp ?? v? h?c t?p .,1,0
phong cách gi?ng bài c?a th?y r?t g?n g?i v?i sinh viên !,1,0
gi?ng d?y k?t h?p các ho?t ??ng gi?i trí có hi?u qu? .,1,0
c?n t?o các bu?i seminar ?? sinh viên có th? hi?u sâu thêm v? các v?n ?? trong chuyên ngành nh?ng không có trong môn h?c .,0,1
ti?t h?c tho?i mái .,1,0
"th?y nhi?t tình , quan tâm t?i sinh viên .",1,0
"gi?ng d?y nhi?t tình , h??ng d?n chi ti?t ??n lúc sinh viên hi?u !",1,0
"ch?a có nhi?u ti?t làm bài t?p , ch?a bài t?p trên l?p .",0,1
tài li?u ???c b? sung nhi?u và ??y ?? trên moodle .,1,1
gi?ng viên ph?i nên cho ví d? c? th? nh?ng ph?n quan tr?ng nên nói k? có th? l?y ví d? minh h?a tránh vi?c l?p ?i l?p l?i nhi?u l?n s? t?o c?m giác chán cho sinh viên .,0,0
nên biên so?n m?t tài li?u c?a chính tr??ng ta .,0,1
không giúp ?? sinh viên trong nh?ng v?n ?? xung quanh .,0,0
"bài t?p ?a d?ng , c? th? .",1,1
"n?i dung gi?ng viên yêu câu seminar h?u nh? không có tài li?u tham kh?o và r?t ít ?ng d?ng trong th?c t? , ?? ngh? có s? thay ??i trong nh?ng n?m h?c t?i .",0,1
slide up ??y ?? tr??c m?i bu?i h?c .,1,1
"n?i dung gi?ng d?y quá nhàm chán , khô khan .",0,1
l??ng ki?n th?c quá nhi?u trong m?t h?c k? .,0,1
th?y chép b?ng nhi?u .,0,0
"th?y t?n tình h??ng d?n cách làm , gi?i quy?t nh?ng th?c m?c c?a sinh viên .",1,0
"chúc các th?y cô , anh ch? làm vi?c vui v? !",1,3
"hay , nhi?t tình , d? hi?u .",1,0
"m?c dù nhi?t tình nh?ng khi truy?n ??t thì l?i khó hi?u , s? d?ng ngôn t? gây khó kh?n cho vi?c hi?u bài .",0,0
"th?y d?y khá hay , cung c?p nhi?u thông tin liên quan ??n môn h?c , ??a ra nhi?u h??ng gi?i quy?t khi sinh viên g?p v?n ?? khó kh?n v?i ?? án !",1,0
hy v?ng h?c k? sau có th? h?c ???c v?i cô .,1,0
nhi?u khi em lên l?p h?c môn ??c t? hình th?c gi?ng nh? lên l?p h?c mà không bi?t mình h?c cái gì .,0,1
trong khi gi?ng nói nh? quá .,0,0
th?c hành khó hi?u .,0,1
"th?y r?t t?n tâm nhi?t tình , quan tâm ??n sinh viên , gi?ng bài d? hi?u , ki?n th?c sâu r?ng am hi?u cao .",1,0
"cô d?y v?i nhi?t huy?t c?a mình , dù nh? th? nào , cô v?n luôn m?m c??i và kiên trì gi?ng bài cho chúng em ??n khi chúng em hi?u .",1,0
"cô lên l?p ?úng gi? , gi?ng bài r?t d? hi?u cho sinh viên .",1,0
"nh?ng thông tin c?n thi?t nh? doubledot th?i gian dealine , cách n?p bài th??ng không d?n l?p th?c hành th? hai .",0,0
"th?y nhi?t tình , d? ch?u .",1,0
"gi?ng viên ch?a ?i sâu vào b?n ch?t c?a v?n ?? , em ch? h?c thôi mà không bi?t b?n ch?t c?a nó là gì nó có ?ng d?ng gì sau này cho chuyên nghành c?a em .",0,0
??c bi?t h?n là th?y ?ã b? r?t nhi?u công s?c trong vi?c ra bài t?p và ch?m ?i?m m?t cách rõ ràng và minh b?ch .,1,0
cô r?t nhi?t tình và t?n d?ng t?t th?i gian .,1,1
"gi?ng viên t?n tâm , nhi?t huy?t trong gi?ng d?y .",1,0
"th?y nhi?t tình , g?n g?i .",1,0
"gi?ng viên t?n tâm , gi?ng d? hi?u , d? ti?p thu .",1,0
bài t?p và có code tham kh?o .,1,1
"c?n nâng c?p h? th?ng wifi , vì khi vào phòng th?c hành , sinh viên không th? truy c?p internet , bu?c ph?i xin phép ra ngoài ?? làm bài .",0,2
tài li?u không chi ti?t l?m .,0,1
"t?n tâm , nhi?t tình , vui tính , d? g?n v?i sinh viên .",1,0
th?y d?y r?t hay và nhi?t tình .,1,0
"th?y d?y không ?úng gi? , không h??ng d?n sinh viên th?c hành .",0,0
giúp ?? h?c sinh quá ít .,0,0
cô d?y bu?n ng? quá .,0,0
nên kinh mong n?i dung môn h?c ???c gi?m t?i cho phù h?p h?n v?i ??c thù c?a m?t tr??ng công ngh? thông tin .,0,1
th?y t?n tình vui tính .,1,0
cô l?i ki?u khó tính n?a .,0,0
t?o h?ng thú cho sinh viên .,1,0
cô gi?ng hay cu?n hút và truy?n ??t d? hi?u .,1,0
có h?ng thú h?c .,1,0
"gi?ng viên h??ng d?n c? th? , chi ti?t .",1,0
giáo trình quá ít và n?i dung không khác nhau là m?y .,0,1
"giáo viên ngh? d?y liên t?c , cu?i h?c k? l?i t?ng h?c bù , nh?ng ti?t h?c bù ?ó ?ã ?nh h??ng ??n nh?ng ?? án , và tr? deadline .",0,0
"giáo viên lúc d?y lúc không , không d?y c?ng không thông báo , sinh viên t?n th?i gian , công s?c , ti?n b?c r?i ng?i ??i và ?i v? .",0,0
"c?n có m?t phòng máy t?t h?n , hi?n ??i h?n .",0,2
th?y nên cho làm bài t?p t??ng t? nhau nhi?u h?n m?t vài bài ?? tránh tình tr?ng quên ho?c các d?ng t?a nhau nh?ng h?i khác cách làm .,0,0
"không ng? môn này l?i chán ??n nh? v?y , không h?c ???c gì t? môn này , th?y d?y chán kinh kh?ng , hay ?i tr? t? 30 - 45 phút , không nhi?t tình .",0,0
gi?ng viên ?ánh giá sai ?i?m và n?ng l?c c?a h?c sinh .,0,0
không ?áp ?ng ???c ?? c??ng môn h?c ?? ra .,0,1
th?y nên h??ng d?n th?c hành nhi?u h?n .,0,0
"gi?ng viên thân thi?n , quan tâm t?i sinh viên .",1,0
"môn l?p trình h??ng ??i t??ng nên c?p nh?t thêm nh?ng n?i dung m?i , d? hi?u và gi?ng gi?i c? th? h?n .",0,1
"giáo viên nhi?t tình , tâm huy?t , kh? n?ng truy?n ??t t?t .",1,0
th?y d?y r?t t?t và nhi?t tình .,1,0
"cô nói h?i nh? , n?u l?p ?n s? khó nghe .",0,0
"bài t?p cô ??a ra nhi?u , và khó tìm hi?u , v?i ki?n th?c hi?n t?i c?a sinh viên thì khó có th? tìm hi?u và làm t?t bài t?p cô ra .",0,0
bài t?p và ho?t ??ng nhóm còn ít .,0,1
"gi?ng viên r?t nhi?t tình , ph??ng pháp gi?ng d?y hay , sinh viên n?m b?t ki?n th?c ngay trên l?p .",1,0
cô h??ng d?n th?c hành khá ??y ?? .,1,0
